Segundo,Canal1_Delta,Canal1_Theta,Canal1_Alpha,Canal1_Beta,Canal1_Gamma,Canal2_Delta,Canal2_Theta,Canal2_Alpha,Canal2_Beta,Canal2_Gamma,Canal3_Delta,Canal3_Theta,Canal3_Alpha,Canal3_Beta,Canal3_Gamma,Canal4_Delta,Canal4_Theta,Canal4_Alpha,Canal4_Beta,Canal4_Gamma,Canal5_Delta,Canal5_Theta,Canal5_Alpha,Canal5_Beta,Canal5_Gamma,Canal6_Delta,Canal6_Theta,Canal6_Alpha,Canal6_Beta,Canal6_Gamma,Canal7_Delta,Canal7_Theta,Canal7_Alpha,Canal7_Beta,Canal7_Gamma,Canal8_Delta,Canal8_Theta,Canal8_Alpha,Canal8_Beta,Canal8_Gamma
301,0.0025069937450288337,0.002699350232049951,0.002430029800629078,0.0014457711752663394,0.0017817601186854006,0.0014087857561264835,0.001388912650594332,0.001462336926013865,0.006176017101227935,0.006026484696929199,0.004803739645839597,0.0034345866914819315,0.0035328524320833907,0.0034295497200410555,0.003727697262266234,0.003907308942556868,0.00924811670911404,0.007113198878554343,0.006269832734349294,0.005850123083908291,0.00679035642060396,0.005909577532365935,0.00841461534174797,0.008037389712676368,0.014451104703633925,0.013465331789396231,0.013850259924686288,0.011440150192028901,0.011366597019700844,0.012746069720347215,0.01194405783442703,0.011588063890964768,0.012240113050090574,0.012430554069098966,0.0104859233806181,0.012209933187880655,0.012989144642870695,0.011689389517609164,0.012214056556685657,0.012905390296087097
302,0.0024164120254302653,0.0027435189060377447,0.00232808133879362,0.0013815761849507316,0.0017277265013251558,0.0013676806319180442,0.0013971079293610097,0.0014118055076022952,0.006406023809015304,0.006471323582394416,0.004826295938697523,0.0035570817202165614,0.003566034226687453,0.003300822009525489,0.003517226263193612,0.003860506708218416,0.009115506770263168,0.0071724801321995,0.00656137489287974,0.0057363873828152395,0.006735093952742418,0.005784946545299603,0.008401438547187107,0.008036001489640888,0.014518450840335971,0.013683086962601761,0.014181680188792085,0.011606838208638464,0.01145304121514916,0.013092018364685175,0.012058399717363789,0.011910404750092833,0.012277892167765352,0.012477862898263945,0.010553853050611454,0.012217968094912308,0.013040114543918112,0.01175238313544661,0.012266859658209868,0.012958986096945388
303,0.002402401564300831,0.002640995903718553,0.0023571710728857074,0.0013765273063664975,0.001660523416876885,0.0014227074549145178,0.0013810730040604122,0.0013862998236611303,0.006560298420506738,0.006674965376783859,0.004949981015634114,0.003777457464161812,0.0035514665445555336,0.00330715727592613,0.0034100909497910867,0.003682599664563,0.009162064866529401,0.007477747979619615,0.006682681205680198,0.006000468837691826,0.006532726472492549,0.005607248667686961,0.008524498124397059,0.007926877433497275,0.014553783914351304,0.013649384584359393,0.014475422587575022,0.011598165145336181,0.01137378726895467,0.013233667740480131,0.012037425825571497,0.012332725645399039,0.012379761359667401,0.012560572747101461,0.0106163657197773,0.012233194583465576,0.013113277361784177,0.011813888610164448,0.012412052866321887,0.013018722320040272
304,0.002509552698383343,0.0026787034119997045,0.002370360190923612,0.00135730176624623,0.0016387428369387363,0.0014257848269721763,0.0014497639818280808,0.0013441976635465704,0.006583673724987564,0.006922537369226978,0.005027058702396302,0.0038488000711620184,0.0036060622123889963,0.0032546169642231736,0.003407018407204161,0.0035752138848162618,0.009190755253351925,0.007782520889556352,0.006836058534816165,0.006135743312119437,0.006460430294822818,0.0056148419279467695,0.008755673231034827,0.007926855451078766,0.014456838784195064,0.013661877259410928,0.014669683218332666,0.011494885081846248,0.011522387085801548,0.013184156672660978,0.011883795365555741,0.012853310615971968,0.012539121903440933,0.012687212793992654,0.010697496831285598,0.012331603875921231,0.013248710376078604,0.011973270470222595,0.01260766175208136,0.013171015183196508
305,0.002619112572627226,0.0027178122994607466,0.002404543850904528,0.0015117722211025544,0.0016519379501816888,0.001555047942605194,0.001483941313537002,0.0013954168652038858,0.006588711695629281,0.0071123502239731524,0.005070165225889818,0.003773390050603922,0.003623210497226986,0.003114730844846123,0.003373376314079217,0.0035637247404763156,0.009206880356528448,0.008092997237895097,0.006979754273934056,0.006259143949883211,0.006398033532954562,0.005777293332989318,0.008933052696646048,0.008022593546618743,0.014347742039541114,0.013658019011895811,0.014772598240448586,0.011654662625437542,0.011855848384159127,0.013044439085159157,0.011719477453341688,0.01338960035923419,0.012652283397117199,0.012856099052453024,0.01077298978551352,0.012474236465344004,0.013417661915660604,0.012168830062073898,0.012696386789983362,0.013351793263935858
306,0.002692961674937775,0.002777209293870017,0.00241960380598425,0.001567520800173377,0.0017120851778892846,0.0015780647005174753,0.0014470967817157663,0.0014341016751745427,0.006753505227443782,0.007252693311201613,0.005264820540979766,0.0037221343781159,0.003613413999112163,0.0031677061419819823,0.0034365451251308337,0.00352355153758584,0.009411070379112804,0.008388926554252642,0.006955658212579723,0.006293195382286131,0.006270547496017754,0.005964462968443368,0.009165025165555157,0.008079976984799368,0.014082185098088909,0.013654509818541247,0.014688674695655865,0.011949221704374747,0.012216494606738371,0.01286731008589215,0.011873086597072832,0.013957620724411994,0.012781774497075502,0.012975503552985585,0.010810746254635895,0.012539698775393298,0.013500996598090866,0.012269075219541927,0.012808629018885652,0.013449111429072841
307,0.002754898637885571,0.002831950678492833,0.002390661787083198,0.001563882210309868,0.0016819646015959467,0.0015464807945920877,0.0014926138772388628,0.0014054184492913813,0.006912565344831037,0.007558581329277215,0.005459703673861525,0.0037214828991673876,0.003657823147435757,0.003389277929334241,0.0034219831051370145,0.003563566866743394,0.009713475183055716,0.008452130004266756,0.006947216963872618,0.0062134258484575445,0.006172892267130315,0.006217086254206088,0.00935904065903974,0.008187681509614473,0.013651145842375617,0.013473518574955759,0.014547960571848343,0.01207069255224707,0.012493870095741197,0.012643899435924994,0.012180274242375987,0.014436922713026738,0.012948493155844195,0.013078963472626949,0.010916357786755473,0.01263516242376887,0.013573841003955513,0.012386765091430857,0.012976625322463391,0.013568097597519854
308,0.0026245413973313555,0.002841919039152356,0.0022490841872153397,0.0016090719010239728,0.001735074457778431,0.0015354506165052347,0.0014265640370948987,0.0014813856908519635,0.007152394196888156,0.007851833453514033,0.005706259479049065,0.003655916672230601,0.003617047093371045,0.0035079749956711784,0.003595999926850393,0.003580514312212287,0.0096611077330983,0.008550629224798125,0.006869112098645598,0.0061673413733900765,0.006191368156819415,0.006517182238071756,0.00936836453515664,0.008230969554594155,0.013106349569284659,0.013129172648767206,0.014398133736368378,0.012020739171522177,0.012701545330859926,0.012285919081190274,0.012440446157427605,0.014731702948416815,0.013073972797491718,0.013272613924737518,0.01098135713374831,0.012766472069258296,0.013713919636027982,0.012545263657945315,0.013098062863641005,0.013735918041749529
309,0.0029703799630433018,0.002683556530485785,0.00248557221125965,0.0015581283122653763,0.001650001665484768,0.0014780633480547185,0.0013887375406468983,0.001447480308305343,0.007794576580773303,0.008207173253492205,0.0061795063105656725,0.003822674965965999,0.0037995424672896028,0.003772488105311196,0.0036377145635720113,0.0038213696766003446,0.009916533444153854,0.008576659072847277,0.00669892088388652,0.00622759651478853,0.00611323065103158,0.006663224766898858,0.009482076255429501,0.008071676290343935,0.01303013452591544,0.012704220524578971,0.014452951226788604,0.011891908876386907,0.012911761200651076,0.012420063792533348,0.012467719011323304,0.014948412291408473,0.01315547028264182,0.013433717074778239,0.011024007688591256,0.01284644011098735,0.013787669983988718,0.012649596212988059,0.013200869972066065,0.01386911018162392
310,0.003267396742983102,0.002978616042510998,0.002739089115641418,0.0016339659907835397,0.001720001679621246,0.0014395354958828788,0.00147345453417433,0.0014179459298388874,0.008339135044064036,0.008902228682960452,0.006626701977748514,0.0038133564189202526,0.003880626616358363,0.003964654078038577,0.0038091074838761973,0.00391224666004751,0.010177857104708516,0.008718950601716227,0.007096811318623512,0.006039395704066282,0.005829125877429704,0.006777729852639693,0.009534390414675383,0.00794837090972703,0.013034777479157905,0.012728253303213357,0.014594980298903246,0.011957840144697706,0.013050576842860172,0.012622054240999108,0.01238414052388777,0.014944382181348657,0.013235820685226135,0.013560910012801604,0.011014273473995539,0.012909169939802699,0.013854068878293236,0.012751799804104989,0.013310832690782457,0.013976413693834726
